frequency_MHz,experimental_data,reference_full_data_fit,adaptive_fit_30_points,adaptive_fit_40_points,adaptive_fit_50_points,adaptive_fit_60_points,adaptive_fit_70_points,adaptive_fit_80_points,adaptive_fit_90_points
2764.5,0.9920081908730426,0.9928533573315772,0.9821553421933906,0.9930819214384938,0.9930889771609497,0.9932063865453675,0.9931968658867979,0.9931930022304547,0.9931931300095991
2765.0,0.9917856915916844,0.9925268396113914,0.9806520251055807,0.9927035415041019,0.99270322019373,0.992827962109518,0.9927978963244233,0.9927800419128308,0.992785923748373
2765.5,0.9918932931360626,0.9923183802668253,0.9797166338999167,0.9924424614409032,0.9924334346900265,0.9925553608684459,0.9925086264905856,0.9924793325721516,0.9924901147231354
2766.0,0.9925595249646234,0.9922475001457441,0.9794400635958729,0.9923171218962261,0.9923010162834124,0.9924104353474404,0.9923553120264995,0.9923202093471858,0.9923337245987651
2766.5,0.9928884007540097,0.9923211787220486,0.9798497365867576,0.9923370892668568,0.9923175012064707,0.9924060880875367,0.992353526119779,0.9923201037238976,0.9923333664408945
2767.0,0.9928871766762581,0.9925316406460568,0.9809051209450605,0.9925007205908252,0.9924812723373592,0.9925425571461906,0.9925032040915537,0.9924787076396584,0.9924887904925924
2767.5,0.9928859526015248,0.9928588111416657,0.98250434044014,0.9927955869186207,0.9927780474144362,0.9928073418128002,0.9927886643642057,0.9927780822631781,0.9927829705638511
2768.0,0.9936610035172245,0.9932758938770649,0.9845003835946158,0.9932013761857471,0.9931848129458771,0.9931788180059133,0.9931835913332477,0.9931886349805956,0.9931876706777227
2768.5,0.9933260532074105,0.9937550461571462,0.9867233409015047,0.9936935771949275,0.9936747611579516,0.9936313051933694,0.9936577913149379,0.9936770746340537,0.9936708910423385
2769.0,0.9938798275691575,0.9942710758740508,0.9890040215142509,0.9942464667904181,0.9942210464074136,0.9941391821633688,0.9941824206073051,0.99421240356281,0.9942025267868021
2769.5,0.9948725207807972,0.994802900266478,0.9911944561915875,0.9948350209445589,0.9947987998321288,0.9946791313844443,0.994732532545639,0.9947686468787266,0.9947570116364031
2770.0,0.9958688389801051,0.9953335680323349,0.9931820202656689,0.9954360776851361,0.9953859548316414,0.9952309120527624,0.995287610046779,0.995325191427196,0.995313737403044
2770.5,0.9962013348769111,0.9958497244635024,0.9948957439378668,0.9960291345655998,0.9959635680781742,0.9957774268143315,0.9958311979762943,0.9958661008360153,0.9958565080895043
2771.0,0.9964213797361144,0.9963410409079376,0.9963052383784889,0.9965969537853515,0.9965160054603261,0.9963046077005753,0.9963503778252024,0.9963792992054437,0.9963728538588208
2771.5,0.9974140649191545,0.9967997871728232,0.9974140649190641,0.9971259823867222,0.9970310763717196,0.9968013203159958,0.9968353623828194,0.9968559518802813,0.9968535085776503
2772.0,0.9971915628135256,0.9972205394574778,0.9982500484066342,0.9976065417532874,0.9975000737238038,0.9972592917703015,0.997279218786398,0.9972900504131265,0.997292056967974
2772.5,0.9969690612565105,0.9975999575389263,0.9988549836780638,0.9980327589073346,0.9979176651038936,0.9976730061607524,0.9976776410568099,0.9976781051439304,0.997684662012023
2773.0,0.9980741917561786,0.9979365705733053,0.9992756064986071,0.9984022533639061,0.9982816147595465,0.9980395200508959,0.9980287002308303,0.998018855626447,0.9980297908936006
2773.5,0.9979641391842684,0.9982305371597922,0.9995568868431822,0.998715629784002,0.9985923552473358,0.9983581811301796,0.9983325365177942,0.9983129497819767,0.9983278968637713
2774.0,0.9986267229874515,0.9984833709777835,0.9997379211387956,0.9989758479526368,0.9988524547678642,0.9986302619140598,0.998590992349154,0.9985625812944782,0.9985810512950839
2774.5,0.9991804833046535,0.9986976410559446,0.9998501258819124,0.99918754672341,0.9990660379607047,0.9988585386462613,0.9988072075861567,0.9987711000962343,0.9987925441577106
2775.0,0.9990668023853052,0.9988766648195806,0.9999171297300835,0.9993563907718861,0.999238216558602,0.9990468528369345,0.9989852079519097,0.9989426224353825,0.9989664818310185
2775.5,0.998180488500073,0.9990242141897323,0.9999556953944917,0.9994884929714992,0.9993745760039252,0.999199691416834,0.9991295178298953,0.99908166825085,0.9991074117121065
2776.0,0.9980668090938319,0.999144252452203,0.9999770977143532,0.9995899456207723,0.9994807492496268,0.9993218143810906,0.9992448224905877,0.9991928483124718,0.9992199972924017
2776.5,0.9989542860719078,0.9992407144939337,0.999988552914992,0.9996664744921522,0.9995620931732457,0.9994179489375372,0.999335695780519,0.9992806152216992,0.9993087585867536
2777.0,0.9997256849348624,0.9993173370123002,0.9999944675259446,0.9997232134574559,0.9996234689884247,0.9994925589041227,0.9994063998169807,0.9993490834802815,0.9993778835583297
2777.5,0.9988393746079893,0.9993775396485758,0.999997413973104,0.999764585740866,0.999669117320023,0.9995496890603701,0.9994607549516191,0.9994019161116882,0.9994311081720512
2778.0,0.9992806816072972,0.9994243534237072,0.9999988301340721,0.9997942710141043,0.9997026118065059,0.9995928772953082,0.9995020721175282,0.9994422696652785,0.9994716568333638
2778.5,0.9990581807664213,0.9994603897064123,0.9999994864661707,0.9998152351001961,0.9997268720276294,0.9996251230477374,0.9995331359501248,0.9994727861136646,0.9995022314960736
2779.0,0.9989481284738526,0.9994878412529028,0.9999997790387483,0.9998298000074445,0.9997442165459255,0.9996488985783933,0.9995562256059586,0.999495618984129,0.9995250364641141
2779.5,0.9986131807304743,0.9995085064433303,0.9999999032178464,0.9998397351974091,0.9997564389797664,0.9996661896212242,0.9995731605471654,0.9995124815911697,0.9995418264047751
2780.0,0.9980569657139289,0.9995238284022013,0.9999999513156539,0.9998463552784399,0.9997648933583306,0.9996785533626287,0.9995853601421072,0.9995247068969633,0.9995539667607567
2780.5,0.9981681828889185,0.9995349418891285,0.9999999647947517,0.999850613800401,0.999770578741547,0.9996871839085295,0.9995939081886864,0.9995333107723967,0.999562498034305
2781.0,0.9986094874514065,0.9995427223636759,0.9999999608221689,0.9998531868787643,0.9997742166292232,0.9996929779102455,0.9995996159173949,0.999539052809587,0.9995681978516455
2781.5,0.998717076338559,0.9995478332029011,0.9999999450753948,0.9998545436491835,0.9997763176698954,0.9996965954462091,0.9996030793273449,0.9995424910242283,0.9995716369653906
2782.0,0.9982733111046876,0.9995507684966148,0.9999999175030543,0.9998550029315217,0.9997772364511653,0.9996985133505787,0.999604728637982,0.9995440285932814,0.9995732272187284
2782.5,0.9982720804352089,0.9995518900526564,0.999999874588057,0.999854777013952,0.9997772147025403,0.9996990698204973,0.9996048691096213,0.9995439521259732,0.9995732608981542
2783.0,0.9981620301971186,0.9995514581668018,0.9999998098735244,0.9998540042969717,0.9997764141599959,0.9996985002989814,0.9996037134959267,0.9995424618739989,0.9995719418489262
2783.5,0.9982696191053541,0.9995496563521296,0.9999997135555905,0.999852772844473,0.9997749407669089,0.9996969653646115,0.9996014069976906,0.999539694812845,0.9995694092815604
2784.0,0.9974957713912528,0.9995466106149926,0.9999995714576424,0.9998511368505596,0.999772861966022,0.9996945717430666,0.999598045875242,0.9995357417570022,0.9995657554463678
2784.5,0.9979370729744267,0.999542404059171,0.9999993634548092,0.9998491277944487,0.9997702187034663,0.9996913876814549,0.999593690938082,0.9995306596969916,0.9995610383877322
2785.0,0.9998184120332166,0.9995370876499932,0.9999990612903986,0.9998467617315594,0.9997670335225045,0.999687453881439,0.9995883770477567,0.999524480444714,0.9995552908917731
